"filename", "language", "YAML", "JSON", "Markdown", "Dart", "C++", "XML", "Swift", "Gradle", "Properties", "Java", "comment", "blank", "total"
"c:\Development\BA\flutter_performance\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Development\BA\flutter_performance\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Development\BA\flutter_performance\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 5, 13, 77
"c:\Development\BA\flutter_performance\android\app\google-services.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Development\BA\flutter_performance\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Development\BA\flutter_performance\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 3, 39
"c:\Development\BA\flutter_performance\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 4, 26
"c:\Development\BA\flutter_performance\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Development\BA\flutter_performance\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Development\BA\flutter_performance\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Development\BA\flutter_performance\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"c:\Development\BA\flutter_performance\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"c:\Development\BA\flutter_performance\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Development\BA\flutter_performance\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Development\BA\flutter_performance\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Development\BA\flutter_performance\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"c:\Development\BA\flutter_performance\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Development\BA\flutter_performance\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Development\BA\flutter_performance\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Development\BA\flutter_performance\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Development\BA\flutter_performance\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Development\BA\flutter_performance\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"c:\Development\BA\flutter_performance\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"c:\Development\BA\flutter_performance\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Development\BA\flutter_performance\ios\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Development\BA\flutter_performance\lib\main.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Development\BA\flutter_performance\lib\pages\animation_page.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 56
"c:\Development\BA\flutter_performance\lib\pages\home_page.dart", "Dart", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 1, 4, 87
"c:\Development\BA\flutter_performance\lib\pages\image_page.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Development\BA\flutter_performance\lib\pages\list_page.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 5, 35
"c:\Development\BA\flutter_performance\lib\pages\network_page.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 9, 58
"c:\Development\BA\flutter_performance\lib\workload.dart", "Dart", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 26, 95
"c:\Development\BA\flutter_performance\package-lock.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Development\BA\flutter_performance\package.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Development\BA\flutter_performance\pubspec.yaml", "YAML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 14, 89
"Total", "-", 22, 209, 13, 317, 1, 123, 19, 96, 8, 13, 149, 140, 1110